source_site,course_name,course_type,price_raw,price_currency,instructor,duration,syllabus_content,certification_type,brochure_url,url,price_original,start_date,modality,certification,methodology,content
PUCP Educación Continua - Cursos,Curso de Power BI Business Intelligence Primer Nivel,N/A,S/480,PEN,N/A,24 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/cursos/power-bi-business-intelligence-primer-nivel-17/,N/A,N/A,N/A,1 certificación digital válida y respaldada por la Pontificia Universidad Católica del Perú y SUNEDU,"Virtual síncrono, con enfoque en la conexión, transformación y modelado de datos desde múltiples fuentes.","El curso cubre funcionalidades de Power BI, análisis de datos, creación de gráficos complejos y medidas en Power BI."
PUCP Educación Continua - Cursos,Taller en Edición de Videos con Adobe Premiere Pro CC,Curso,S/480,PEN,N/A,8 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/cursos/taller-edicion-videos-adobe-premiere-pro-cc-presencial/,S/600,N/A,Presencial,1 certificación digital válida y respaldada por la Pontificia Universidad Católica del Perú y SUNEDU,"Presencial, enfocado en la producción audiovisual mediante la edición no lineal con Adobe Premiere Pro CC.","Identificación de conceptos básicos de edición de video y sonido no lineal, uso de herramientas de Adobe Premiere para cortes, transiciones, efectos y color, edición de piezas audiovisuales como cortos, reportajes, documentales y videos institucionales."
PUCP Educación Continua - Cursos,Curso en Google Looker Studio,N/A,N/A,N/A,N/A,24 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/cursos/google-looker-studio/,N/A,N/A,N/A,1 certificación digital válida y respaldada por la Pontificia Universidad Católica del Perú y SUNEDU,"Virtual Sincrono, enfocado en el análisis de datos en entornos colaborativos y soluciones prácticas basadas en datos.","Desarrollo de habilidades en el uso de Google Looker Studio, análisis de datos mediante gráficos y reportes interactivos, creación de visualizaciones web personalizadas, diseño de indicadores de gestión."
PUCP Educación Continua - Cursos,Curso en Aplicación de Redes Neuronales en Series de Tiempo con R y Python,N/A,N/A,N/A,N/A,30 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/cursos/aplicacion-redes-neuronales-series-tiempo-r-python/,N/A,N/A,N/A,Certificación digital válida y respaldada por la Pontificia Universidad Católica del Perú y SUNEDU,Virtual síncrono,"El curso enseña a pronosticar series de tiempo, usar R y Python para pronósticos, y aplicar redes neuronales (MLP, CNN, LSTM) a pronósticos temporales."
PUCP Educación Continua - Cursos,Curso de Power BI Business Intelligence Primer Nivel,N/A,S/480,PEN,N/A,24 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/cursos/power-bi-business-intelligence-primer-nivel-18/,N/A,N/A,N/A,1 certificación digital válida y respaldada por la Pontificia Universidad Católica del Perú y SUNEDU,"Presencial, con enfoque en la conexión, transformación y modelado de datos desde múltiples fuentes.","El curso cubre funcionalidades de Power BI, análisis de datos, creación de gráficos complejos y medidas en Power BI."
PUCP Educación Continua - Cursos,Curso en Ingeniería de Costas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://educacioncontinua.pucp.edu.pe/cursos/ingenieria-de-costas/,N/A,N/A,N/A,N/A,N/A,N/A
PUCP Educación Continua - Cursos,Curso de Presentaciones Efectivas con Microsoft PowerPoint,N/A,N/A,N/A,N/A,12 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/cursos/presentaciones-efectivas-microsoft-powerpoint/,N/A,N/A,N/A,1 certificación digital válida y respaldada por la Pontificia Universidad Católica del Perú y SUNEDU,"Virtual síncrono, enfocado en la creación de materiales visuales claros y atractivos para mejorar la comunicación.","El curso incluye el diseño de presentaciones efectivas, técnicas de comunicación verbal y no verbal, y elementos esenciales de una presentación audiovisual profesional."
PUCP Educación Continua - Cursos,Curso en Manejo de Hojas de Cálculo: Nivel Intermedio,N/A,N/A,N/A,N/A,24 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/cursos/manejo-hojas-calculo-nivel-intermedio-10/,N/A,N/A,N/A,1 certificación digital válida y respaldada por la Pontificia Universidad Católica del Perú y SUNEDU,El curso busca actualizar conocimientos y preparar al alumno para resolver problemas en su entorno laboral mediante una práctica aplicada.,"El curso incluye el manejo de fórmulas, organización de bases de datos, creación de gráficos, aplicación de funciones anidadas, y automatización de procesos con Excel."
PUCP Educación Continua - Cursos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://educacioncontinua.pucp.edu.pe/cursos/sql-server-implementacion-base-datos-primer-nivel-2/,N/A,N/A,N/A,N/A,N/A,N/A
PUCP Educación Continua - Cursos,Curso de Power BI para Gestión,N/A,N/A,N/A,"Franco Riva: MBA en Maastricht, experiencia en calidad de servicio y análisis de datos. Jorge Hernández: Magíster en Gestión de la Inversión Social, experiencia en investigación social y sistemas de reportería.",18 hrs,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/cursos/power-bi-para-gestion/,N/A,19 de enero de 2026,N/A,1 certificación avalada por la Facultad de Gestión y Alta Dirección de la PUCP,"El curso consta de 6 unidades con contenido teórico y práctico, con evaluaciones disponibles durante una semana. Se ofrecen asesorías optativas en sesiones sincrónicas.","Módulos incluyen Power BI e Inteligencia de Negocios, modelado de datos, visualizaciones, y obtención de datos desde Excel y bases de datos."
PUCP Educación Continua - Cursos,Curso de Power Automate en Nivel Básico,N/A,N/A,N/A,N/A,24 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/cursos/power-automate-nivel-basico/,N/A,N/A,N/A,1 certificación digital válida y respaldada por la Pontificia Universidad Católica del Perú y SUNEDU,"Virtual síncrono, diseñado para aumentar la productividad y automatizar tareas.","Flujos básicos en Power Automate, automatización de tareas, uso de variables."
PUCP Educación Continua - Cursos,Curso de Programación en JAVA,N/A,N/A,N/A,N/A,24 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/cursos/programacion-java/,N/A,N/A,N/A,1 certificación digital válida y respaldada por la Pontificia Universidad Católica del Perú y SUNEDU,Virtual síncrono,"Fundamentos de la programación orientada a objetos con Java, desarrollo de aplicaciones básicas que gestionen datos y procesos empresariales, y buenas prácticas de codificación."
