source_site,course_name,course_type,price_raw,price_currency,instructor,duration,syllabus_content,certification_type,brochure_url,url,price_normal,start_date
DMC,Data Storytelling,Cursos,S/242.55,PEN,N/A,4 - Sesiones,N/A,N/A,N/A,https://dmc.pe/producto/data-storytelling-enero,S/441.00,07/01/2026
DMC,AWS DevOps & MLOps,Cursos,S/503.80,PEN,N/A,5 - Sesiones,N/A,N/A,N/A,https://dmc.pe/producto/aws-devops-mlops-enero,S/916.00,08/01/2026
DMC,Power BI Nivel 2,Cursos,S/288.75,PEN,N/A,6 - Sesiones,N/A,N/A,N/A,https://dmc.pe/producto/power-bi-nivel-2-enero,S/525.00,12/01/2026
DMC,Especialización Power Apps y Power Automate,Especializaciones,"S/1,250.00",PEN,N/A,15 - Sesiones,N/A,N/A,N/A,https://dmc.pe/producto/esp-power-apps-power-automate-noviembre,N/A,21/01/2026
DMC,Automatización con Power Apps y Power Automate,Cursos,S/298.10,PEN,N/A,8 - Sesiones,N/A,N/A,N/A,https://dmc.pe/producto/automatizacion-con-power-apps-y-power-automate-noviembre,S/542.00,21/01/2026
DMC,Python Fundamentals,Cursos,S/328.35,PEN,N/A,6 - Sesiones,N/A,N/A,N/A,https://dmc.pe/producto/python-fundamentals-enero,S/597.00,21/01/2026
DMC,Especialización en Python for Analytics,Especializaciones,S/700.00,PEN,N/A,11 - Sesiones,N/A,N/A,N/A,https://dmc.pe/producto/especializacion-en-python-for-analytics-enero,N/A,21/01/2026
DMC,Especialización en Credit Scoring,Especializaciones,"S/2,150.00",PEN,N/A,17 - Sesiones,N/A,N/A,N/A,https://dmc.pe/producto/especializacion-en-credit-scoring-enero,N/A,21/01/2026
DMC,Especialización en Advanced Machine Learning con Tensorflow y Keras,Especializaciones,"S/1,150.00",PEN,N/A,10 - Sesiones,N/A,N/A,N/A,https://dmc.pe/producto/especializacion-en-advanced-machine-learning-con-tensorflow-y-keras,N/A,22/01/2026
DMC,Especialización en People Analytics,Especializaciones,"S/1,150.00",PEN,N/A,14 - Sesiones,N/A,N/A,N/A,https://dmc.pe/producto/especializacion-en-people-analytics,N/A,22/01/2026
DMC,"Especialización en N8N: Automatización de tareas, integración de datos e IA",Especializaciones,S/799.00,PEN,N/A,9 - Sesiones,N/A,N/A,N/A,https://dmc.pe/producto/especializacion-en-n8n-automatizacion-de-tareas-integracion-de-datos-e-ia,N/A,22/01/2026
DMC,SQL Server Fundamentals,Cursos,S/291.50,PEN,N/A,6 - Sesiones,N/A,N/A,N/A,https://dmc.pe/producto/sql-server-fundamentals-enero,S/530.00,22/01/2026
DMC,Diploma en Marketing Digital con IA y analítica,Diplomas,"S/3,799.00",PEN,N/A,25 - Sesiones,N/A,N/A,N/A,https://dmc.pe/producto/diploma-en-marketing-digital-con-ia-y-analitica,N/A,26/02/2026
DMC,Diploma Data Analyst,Diplomas,"S/3,299.00",PEN,N/A,20 - Sesiones,N/A,N/A,N/A,https://dmc.pe/producto/diploma-data-analyst-starter,N/A,26/02/2026
DMC,Especialización en Excel con Copilot,Especializaciones,S/275.00,PEN,N/A,15 - Sesiones,N/A,N/A,N/A,https://dmc.pe/producto/especializacion-en-excel-con-copilot-marzo,S/500.00,19/03/2026
DMC,Especialización en Data Stewardship,Especializaciones,"S/1,200.00",PEN,N/A,11 - Sesiones,N/A,N/A,N/A,https://dmc.pe/producto/especializacion-en-data-stewardship-febrero,N/A,03/02/2026
